open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
7.06,7.02,7.07,7.0,324533.0,228164816.0,2023,3,14,15,0,2023-03-14 15:00,324533.0
7.07,7.08,7.1,7.06,250729.0,177677440.0,2023,3,15,15,0,2023-03-15 15:00,250729.0
7.08,7.12,7.17,7.05,285013.0,203051776.0,2023,3,16,15,0,2023-03-16 15:00,285013.0
7.14,7.11,7.22,7.1,363281.0,260022752.0,2023,3,17,15,0,2023-03-17 15:00,363281.0
7.1,7.13,7.22,7.1,262921.0,188546320.0,2023,3,20,15,0,2023-03-20 15:00,262921.0
7.16,7.13,7.2,7.13,189776.0,135798128.0,2023,3,21,15,0,2023-03-21 15:00,189776.0
7.15,7.18,7.19,7.14,169883.0,121799288.0,2023,3,22,15,0,2023-03-22 15:00,169883.0
7.15,7.21,7.22,7.14,215062.0,154656976.0,2023,3,23,15,0,2023-03-23 15:00,215062.0
7.19,7.21,7.25,7.18,256878.0,185477856.0,2023,3,24,15,0,2023-03-24 15:00,256878.0
7.23,7.15,7.23,7.15,191413.0,137294384.0,2023,3,27,15,0,2023-03-27 15:00,191413.0
7.16,7.18,7.19,7.14,166412.0,119293208.0,2023,3,28,15,0,2023-03-28 15:00,166412.0
7.23,7.16,7.23,7.16,126858.0,91087592.0,2023,3,29,15,0,2023-03-29 15:00,126858.0
7.18,7.19,7.21,7.12,225047.0,161359040.0,2023,3,30,15,0,2023-03-30 15:00,225047.0
7.19,7.19,7.24,7.17,200489.0,144424000.0,2023,3,31,15,0,2023-03-31 15:00,200489.0
7.19,7.19,7.21,7.16,202465.0,145394352.0,2023,4,3,15,0,2023-04-03 15:00,202465.0
7.19,7.21,7.22,7.16,257181.0,184997552.0,2023,4,4,15,0,2023-04-04 15:00,257181.0
7.21,7.18,7.22,7.18,147402.0,106072544.0,2023,4,6,15,0,2023-04-06 15:00,147402.0
7.19,7.23,7.24,7.16,174658.0,125889352.0,2023,4,7,15,0,2023-04-07 15:00,174658.0
7.21,7.21,7.24,7.19,175483.0,126535776.0,2023,4,10,15,0,2023-04-10 15:00,175483.0
7.23,7.18,7.23,7.18,201912.0,145358000.0,2023,4,11,15,0,2023-04-11 15:00,201912.0
7.2,7.21,7.23,7.17,194756.0,140373568.0,2023,4,12,15,0,2023-04-12 15:00,194756.0
7.22,7.25,7.29,7.2,257790.0,186717632.0,2023,4,13,15,0,2023-04-13 15:00,257790.0
7.28,7.27,7.31,7.25,250746.0,182629856.0,2023,4,14,15,0,2023-04-14 15:00,250746.0
